Win/Loss, Final Score, Highest Tile, Number of Moves, Time Elapsed
L, 7016, 512, 579, 1.50438
L, 11260, 1024, 764, 1.87568
L, 11480, 1024, 813, 1.87591
L, 11996, 1024, 794, 2.08091
L, 15912, 1024, 1151, 2.35034
L, 5428, 512, 449, 1.28201
L, 7328, 512, 612, 1.51752
L, 12128, 1024, 858, 1.92596
L, 16036, 1024, 1117, 2.26584
L, 16208, 1024, 1144, 2.28049
