Win/Loss, Final Score, Highest Tile, Number of Moves, Time Elapsed
L, 5272, 512, 414, 5.45348
W, 27240, 2048, 1618, 13.6979
L, 16164, 1024, 1117, 10.0498
W, 23296, 2048, 1402, 12.4296
W, 25432, 2048, 1500, 13.1346
W, 35720, 2048, 2113, 16.2398
L, 7024, 512, 535, 6.22472
L, 7192, 512, 595, 6.28693
L, 7020, 512, 540, 6.55166
W, 26272, 2048, 1555, 14.0248
W, 31616, 2048, 1821, 14.5762
W, 31832, 2048, 1860, 14.935
L, 12128, 1024, 836, 8.41773
L, 16364, 1024, 1112, 10.2696
L, 6760, 512, 531, 6.59429
L, 15264, 1024, 1034, 10.1927
W, 22868, 2048, 1298, 12.3806
W, 25568, 2048, 1487, 13.1332
L, 16196, 1024, 1110, 9.96298
L, 15532, 1024, 1043, 10.1623
L, 7028, 512, 561, 6.55382
W, 27204, 2048, 1620, 13.6716
L, 12436, 1024, 840, 8.80738
W, 27160, 2048, 1578, 13.1673
L, 7056, 512, 541, 6.31459
L, 12104, 1024, 845, 9.10246
L, 14408, 1024, 971, 9.38273
L, 15856, 1024, 1063, 9.89656
L, 7048, 512, 561, 6.50258
L, 16172, 1024, 1099, 9.5706
L, 16100, 1024, 1131, 10.1614
W, 22732, 2048, 1329, 12.6695
L, 7200, 512, 579, 6.12512
L, 12196, 1024, 835, 8.53743
W, 27464, 2048, 1657, 13.6379
W, 27204, 2048, 1618, 14.2147
W, 31328, 2048, 1790, 15.2163
W, 35784, 2048, 2106, 15.8617
L, 3056, 256, 286, 4.21604
L, 15980, 1024, 1089, 10.5008
W, 26824, 2048, 1580, 13.4277
W, 27156, 2048, 1636, 14.4422
L, 15352, 1024, 1073, 9.8304
W, 31992, 2048, 1889, 15.7025
L, 16536, 1024, 1131, 9.9401
W, 34588, 2048, 2076, 15.5415
L, 6776, 512, 520, 6.33029
L, 16084, 1024, 1062, 10.2024
W, 32332, 2048, 1888, 15.269
W, 36220, 2048, 2165, 16.412
L, 7072, 512, 560, 6.44633
W, 27156, 2048, 1629, 13.7426
W, 36148, 2048, 2141, 15.582
W, 36224, 2048, 2184, 16.6952
W, 27204, 2048, 1596, 13.788
W, 27220, 2048, 1627, 14.1367
L, 12028, 1024, 817, 9.10815
W, 27112, 2048, 1611, 13.9838
W, 35856, 2048, 2137, 15.8031
W, 59840, 4096, 3246, 21.4529
L, 12324, 1024, 810, 7.9201
L, 16192, 1024, 1100, 9.92604
W, 32248, 2048, 1922, 15.5789
W, 35432, 2048, 2071, 15.7849
L, 16052, 1024, 1083, 10.1632
W, 32488, 2048, 1934, 14.7909
L, 14420, 1024, 972, 9.26704
W, 27164, 2048, 1608, 14.0154
L, 16376, 1024, 1095, 9.83907
W, 36068, 2048, 2103, 16.1019
L, 7028, 512, 533, 6.25221
W, 32356, 2048, 1915, 14.6077
L, 7076, 512, 543, 6.07531
W, 32428, 2048, 1925, 15.371
L, 9576, 1024, 619, 7.18852
W, 26856, 2048, 1564, 13.4406
L, 15132, 1024, 1020, 10.0289
L, 15700, 1024, 1032, 10.098
W, 32340, 2048, 1874, 15.1531
W, 32532, 2048, 1955, 15.5383
L, 12236, 1024, 857, 8.80557
W, 35572, 2048, 2133, 16.5145
L, 16276, 1024, 1069, 10.2149
W, 27508, 2048, 1645, 13.6446
L, 16304, 1024, 1120, 10.3251
W, 34628, 2048, 2056, 15.7125
L, 14436, 1024, 951, 9.88717
W, 27212, 2048, 1644, 13.5937
L, 3256, 256, 327, 4.31338
W, 25616, 2048, 1503, 13.1801
W, 35796, 2048, 2150, 16.7363
L, 10168, 1024, 667, 7.32414
W, 32408, 2048, 1937, 14.8601
L, 16040, 1024, 1107, 10.5899
W, 35336, 2048, 2098, 15.1605
L, 14320, 1024, 955, 10.144
W, 32072, 2048, 1880, 14.5794
L, 14752, 1024, 998, 8.83259
L, 16152, 1024, 1086, 10.0449
L, 15748, 1024, 1027, 10.0458
L, 16132, 1024, 1097, 10.2537
L, 3116, 256, 281, 4.04135
W, 27260, 2048, 1656, 13.7111
L, 15060, 1024, 1027, 10.0858
W, 34164, 2048, 2093, 16.1519
