Win/Loss, Final Score, Highest Tile, Number of Moves, Time Elapsed
L, 7016, 512, 551, 6.28226
L, 12088, 1024, 838, 8.53748
L, 6976, 512, 551, 6.54477
L, 14336, 1024, 938, 9.93712
L, 7040, 512, 555, 6.156
L, 16224, 1024, 1104, 10.1264
W, 31444, 2048, 1848, 14.5999
W, 36100, 2048, 2165, 16.8641
L, 16188, 1024, 1091, 10.1224
L, 16620, 1024, 1128, 10.3733
L, 5556, 512, 427, 5.41448
W, 36192, 2048, 2187, 16.4994
L, 15828, 1024, 1063, 9.81531
L, 16192, 1024, 1111, 10.1967
L, 11440, 1024, 769, 8.58229
W, 36300, 2048, 2232, 16.5867
L, 16052, 1024, 1079, 9.84307
L, 16280, 1024, 1106, 10.1337
L, 16148, 1024, 1094, 9.95693
L, 16132, 1024, 1089, 10.0836
L, 12112, 1024, 821, 8.46878
L, 16432, 1024, 1125, 10.5845
L, 10340, 1024, 696, 8.02671
W, 26480, 2048, 1601, 13.9933
L, 16188, 1024, 1084, 9.97607
L, 16336, 1024, 1102, 10.0901
W, 36200, 2048, 2164, 15.7256
W, 36288, 2048, 2148, 16.1824
W, 27464, 2048, 1656, 13.5383
W, 36056, 2048, 2194, 16.136
L, 16116, 1024, 1118, 10.5526
W, 25464, 2048, 1509, 13.1609
L, 7076, 512, 536, 6.28388
W, 27312, 2048, 1691, 13.285
L, 16212, 1024, 1099, 9.93773
L, 16780, 1024, 1145, 10.4011
L, 16168, 1024, 1077, 10.5379
L, 16244, 1024, 1137, 10.6694
L, 2728, 256, 253, 3.63629
L, 16160, 1024, 1088, 9.57841
W, 27360, 2048, 1684, 13.9448
W, 35492, 2048, 2147, 15.8209
L, 16492, 1024, 1112, 10.1315
W, 27404, 2048, 1645, 13.7479
L, 16340, 1024, 1122, 10.3037
W, 27228, 2048, 1597, 13.4891
L, 15468, 1024, 1023, 9.94183
W, 34376, 2048, 2036, 15.9313
L, 16184, 1024, 1086, 10.3019
W, 26832, 2048, 1576, 13.5901
W, 27104, 2048, 1618, 13.8903
W, 35832, 2048, 2145, 16.4246
W, 60368, 4096, 3247, 22.2362
L, 10912, 1024, 688, 7.70294
L, 16048, 1024, 1046, 9.43366
W, 31372, 2048, 1844, 14.2774
W, 27216, 2048, 1661, 14.3355
L, 6752, 512, 524, 6.29561
W, 35960, 2048, 2173, 16.3108
W, 26272, 2048, 1512, 13.0997
W, 32576, 2048, 1916, 14.3885
L, 16136, 1024, 1140, 9.93257
W, 34088, 2048, 1975, 15.8124
L, 14136, 1024, 954, 9.34003
L, 16420, 1024, 1122, 10.0496
L, 7124, 512, 577, 6.63799
W, 23372, 2048, 1408, 12.3592
L, 16208, 1024, 1108, 10.4753
L, 16248, 1024, 1102, 10.5047
W, 31308, 2048, 1759, 14.3774
W, 31980, 2048, 1897, 15.1348
L, 12072, 1024, 850, 8.66775
W, 27448, 2048, 1675, 14.1243
L, 16096, 1024, 1084, 10.2005
W, 34464, 2048, 2078, 16.0083
W, 26424, 2048, 1558, 13.9439
L, 6948, 512, 522, 6.07788
L, 15632, 1024, 1010, 9.20679
L, 15924, 1024, 1055, 9.75883
L, 16184, 1024, 1104, 9.80004
W, 25452, 2048, 1517, 13.0368
W, 25552, 2048, 1515, 13.3795
W, 27176, 2048, 1623, 13.8944
W, 27656, 2048, 1696, 14.1485
W, 27344, 2048, 1633, 13.5681
W, 32552, 2048, 1961, 15.4157
L, 7056, 512, 552, 6.17179
L, 12092, 1024, 812, 8.98446
L, 11952, 1024, 782, 7.91112
W, 35840, 2048, 2165, 15.7698
L, 16080, 1024, 1112, 9.93415
L, 16344, 1024, 1136, 10.2432
L, 16036, 1024, 1090, 9.65577
W, 32056, 2048, 1901, 15.7576
L, 16252, 1024, 1100, 9.71614
W, 34384, 2048, 2026, 16.4853
L, 16020, 1024, 1059, 9.70936
W, 32392, 2048, 1909, 15.2295
W, 32512, 2048, 1949, 15.3981
W, 35548, 2048, 2123, 15.6044
W, 27672, 2048, 1687, 14.0021
W, 36148, 2048, 2144, 16.1949
W, 34496, 2048, 2010, 15.1293
W, 34396, 2048, 2017, 16.3832
L, 7280, 512, 579, 6.63582
L, 16392, 1024, 1132, 9.86343
W, 27152, 2048, 1675, 14.4847
W, 27268, 2048, 1647, 13.4148
W, 34024, 2048, 2006, 15.9102
L, 2952, 256, 261, 3.8267
L, 16180, 1024, 1130, 9.92094
L, 7100, 512, 552, 6.42456
W, 26836, 2048, 1577, 13.5064
L, 6992, 512, 543, 6.71447
W, 32700, 2048, 1958, 15.1929
W, 34564, 2048, 2027, 16.0671
L, 16204, 1024, 1089, 10.2017
L, 15808, 1024, 1058, 10.2902
W, 32584, 2048, 1971, 14.3336
W, 34800, 2048, 2073, 16.2443
W, 27348, 2048, 1645, 13.9807
W, 34944, 2048, 2032, 15.8459
W, 34512, 2048, 2013, 16.3273
W, 35516, 2048, 2153, 16.5479
W, 27184, 2048, 1640, 13.7046
W, 50692, 4096, 2634, 19.2307
L, 15736, 1024, 1025, 9.87949
W, 32320, 2048, 1882, 14.4401
L, 3228, 256, 315, 4.08587
L, 16140, 1024, 1098, 9.87768
L, 16844, 1024, 1143, 10.5369
W, 35636, 2048, 2129, 16.3044
L, 7128, 512, 553, 6.38798
W, 36432, 2048, 2200, 16.4524
L, 16192, 1024, 1085, 10.1129
W, 26452, 2048, 1566, 13.7549
L, 12272, 1024, 816, 8.27641
W, 31880, 2048, 1865, 14.9042
L, 16112, 1024, 1073, 10.3239
W, 35172, 2048, 2066, 15.6977
W, 27416, 2048, 1646, 13.314
W, 36280, 2048, 2180, 16.3035
W, 27052, 2048, 1627, 13.897
W, 32176, 2048, 1888, 15.1876
W, 31952, 2048, 1928, 15.5632
W, 32632, 2048, 1967, 16.2122
L, 12120, 1024, 833, 8.56323
W, 27488, 2048, 1698, 13.685
L, 16012, 1024, 1103, 10.4246
W, 32104, 2048, 1858, 14.1734
W, 36164, 2048, 2191, 16.5305
W, 25432, 2048, 1535, 13.8755
W, 32520, 2048, 1958, 15.23
W, 27220, 2048, 1651, 13.4727
W, 27396, 2048, 1696, 14.0681
L, 7016, 512, 536, 6.33487
L, 16304, 1024, 1107, 10.3201
L, 16332, 1024, 1139, 10.1436
W, 23180, 2048, 1332, 11.9335
W, 24672, 2048, 1412, 11.9308
W, 27176, 2048, 1622, 12.8624
L, 16108, 1024, 1093, 9.81387
W, 25108, 2048, 1465, 13.2001
L, 16132, 1024, 1106, 10.7344
W, 32312, 2048, 1918, 15.3467
L, 15976, 1024, 1044, 9.46874
W, 36272, 2048, 2178, 16.1007
L, 7580, 512, 575, 6.73138
W, 27360, 2048, 1614, 13.8252
L, 11716, 1024, 792, 8.88953
W, 32252, 2048, 1925, 15.2647
L, 7204, 512, 564, 6.33297
L, 15980, 1024, 1056, 10.0048
L, 7180, 512, 574, 6.60556
W, 60628, 4096, 3239, 22.3366
L, 12144, 1024, 832, 8.49253
L, 14516, 1024, 974, 9.71245
W, 32520, 2048, 1946, 15.3884
W, 60296, 4096, 3248, 22.2315
L, 15996, 1024, 1049, 9.79034
L, 16384, 1024, 1129, 10.3492
L, 7188, 512, 577, 6.52172
W, 27196, 2048, 1632, 13.5405
L, 11960, 1024, 782, 8.15883
W, 28296, 2048, 1710, 14.1156
W, 32292, 2048, 1996, 15.1397
L, 2908, 256, 275, 4.0658
L, 15912, 1024, 1058, 10.0413
W, 21440, 2048, 1220, 10.8969
W, 35524, 2048, 2122, 16.0637
L, 12212, 1024, 848, 8.79538
W, 36376, 2048, 2181, 16.5377
L, 16176, 1024, 1118, 9.71638
W, 27064, 2048, 1587, 13.8633
L, 15376, 1024, 1009, 9.70034
W, 32312, 2048, 1885, 15.819
L, 16420, 1024, 1126, 9.82317
L, 16248, 1024, 1098, 10.1954
L, 16120, 1024, 1077, 9.85006
L, 16484, 1024, 1162, 9.91094
L, 16196, 1024, 1078, 10.1461
W, 36640, 2048, 2255, 16.2056
L, 16024, 1024, 1067, 10.0522
L, 16124, 1024, 1099, 10.2646
L, 16092, 1024, 1095, 9.78225
W, 36080, 2048, 2157, 15.8314
W, 32256, 2048, 1869, 14.8058
W, 34352, 2048, 1983, 15.2848
L, 16148, 1024, 1085, 10.007
W, 22372, 2048, 1284, 11.8505
L, 7012, 512, 548, 6.40939
W, 27340, 2048, 1664, 13.573
L, 16592, 1024, 1125, 9.79771
L, 14484, 1024, 993, 9.92414
L, 15960, 1024, 1091, 10.2747
W, 27184, 2048, 1621, 13.7065
W, 34604, 2048, 2048, 15.1997
L, 12244, 1024, 848, 8.86036
L, 16456, 1024, 1155, 10.5286
L, 7020, 512, 554, 6.75319
W, 51528, 4096, 2685, 19.9765
L, 16232, 1024, 1070, 10.041
L, 16232, 1024, 1100, 10.342
L, 5344, 512, 433, 5.54917
W, 25708, 2048, 1514, 13.2278
L, 16256, 1024, 1133, 9.83296
L, 16148, 1024, 1080, 10.2743
L, 15960, 1024, 1032, 10.0315
L, 3376, 256, 325, 4.41285
L, 15372, 1024, 1028, 9.89652
W, 33740, 2048, 1964, 15.3498
L, 14412, 1024, 982, 9.44664
W, 27356, 2048, 1681, 13.717
W, 33792, 2048, 1986, 14.922
W, 34404, 2048, 2027, 16.1513
L, 2600, 256, 237, 3.84112
L, 16068, 1024, 1116, 9.97884
L, 12432, 1024, 871, 8.84351
L, 16156, 1024, 1095, 10.4928
W, 25476, 2048, 1490, 12.6609
W, 27292, 2048, 1637, 14.5797
L, 12116, 1024, 811, 8.81593
L, 16800, 1024, 1173, 11.0621
L, 7008, 512, 548, 6.29227
W, 35356, 2048, 2100, 16.1489
W, 25608, 2048, 1538, 13.3383
W, 60124, 4096, 3172, 22.43
L, 16292, 1024, 1091, 9.82342
W, 32224, 2048, 1887, 15.2113
L, 16208, 1024, 1091, 10.2418
W, 27208, 2048, 1626, 13.7715
L, 16268, 1024, 1113, 9.79963
L, 16100, 1024, 1095, 10.3807
L, 6572, 512, 533, 5.98233
W, 27296, 2048, 1607, 13.6613
L, 15388, 1024, 1031, 9.87441
W, 27256, 2048, 1634, 13.7441
W, 23280, 2048, 1410, 12.772
W, 27272, 2048, 1609, 13.4255
L, 15472, 1024, 1024, 9.90432
W, 36464, 2048, 2158, 15.9434
L, 3044, 256, 281, 3.98585
W, 35808, 2048, 2151, 15.8441
L, 11320, 1024, 762, 8.68574
W, 36112, 2048, 2161, 16.3793
W, 27312, 2048, 1635, 13.6115
W, 32212, 2048, 1933, 15.9313
L, 15988, 1024, 1044, 9.88812
L, 16060, 1024, 1079, 10.3032
L, 16124, 1024, 1084, 10.0035
W, 27224, 2048, 1642, 13.9986
L, 13600, 1024, 869, 8.84968
L, 16208, 1024, 1098, 10.423
L, 14388, 1024, 926, 8.90341
W, 23296, 2048, 1401, 12.1602
L, 16212, 1024, 1095, 9.74672
L, 16072, 1024, 1122, 9.92453
W, 27064, 2048, 1609, 13.953
W, 34360, 2048, 2020, 15.2036
W, 23156, 2048, 1344, 12.155
W, 32252, 2048, 1944, 15.6413
L, 12100, 1024, 833, 8.52822
L, 16240, 1024, 1119, 10.183
L, 16104, 1024, 1078, 9.85646
W, 34568, 2048, 2064, 15.4946
L, 368, 64, 63, 1.52983
W, 30568, 2048, 1793, 14.6168
L, 7208, 512, 563, 6.32344
W, 36548, 2048, 2201, 16.5304
L, 16492, 1024, 1109, 9.88227
L, 16052, 1024, 1089, 10.1125
L, 12160, 1024, 816, 8.44794
L, 16156, 1024, 1110, 10.521
W, 27432, 2048, 1653, 14.1142
L, 7032, 512, 555, 6.59634
W, 36260, 2048, 2181, 16.3031
L, 16176, 1024, 1101, 9.66269
L, 15640, 1024, 1046, 9.75906
L, 2984, 256, 280, 4.07122
L, 12056, 1024, 799, 8.13158
L, 7776, 512, 610, 6.80417
L, 16360, 1024, 1128, 9.77764
L, 16092, 1024, 1093, 10.1729
W, 34532, 2048, 2108, 16.1339
L, 16240, 1024, 1142, 10.6027
W, 27256, 2048, 1606, 13.5513
L, 7052, 512, 579, 6.53035
L, 12072, 1024, 823, 8.81146
L, 16192, 1024, 1138, 10.236
W, 25576, 2048, 1475, 13.2405
L, 11992, 1024, 824, 8.41567
L, 15932, 1024, 1086, 10.6253
L, 16092, 1024, 1082, 9.90378
W, 26976, 2048, 1617, 13.2674
L, 12056, 1024, 811, 8.68711
W, 27224, 2048, 1653, 13.906
L, 7336, 512, 579, 6.35173
W, 34600, 2048, 2063, 15.5553
L, 6940, 512, 529, 6.254
L, 16216, 1024, 1117, 10.487
L, 16068, 1024, 1074, 175.925
L, 16668, 1024, 1179, 176.708
W, 32248, 2048, 1909, 15.3214
W, 36112, 2048, 2133, 15.7289
L, 16148, 1024, 1069, 9.91667
W, 34440, 2048, 2030, 16.01
L, 14064, 1024, 940, 9.74899
L, 15992, 1024, 1079, 10.1197
L, 16216, 1024, 1122, 10.5495
W, 27236, 2048, 1673, 13.9974
W, 32092, 2048, 1903, 915.43
W, 35704, 2048, 2125, 916.006
L, 12008, 1024, 807, 8.21977
W, 27224, 2048, 1662, 13.314
L, 7024, 512, 538, 6.30458
W, 34600, 2048, 2082, 15.7482
L, 15916, 1024, 1073, 10.2413
W, 30496, 2048, 1776, 14.4594
W, 27180, 2048, 1636, 13.9899
W, 34312, 2048, 2030, 15.6979
L, 7080, 512, 562, 6.18089
L, 7124, 512, 574, 6.5714
L, 12140, 1024, 851, 9.1803
L, 16148, 1024, 1124, 10.0616
L, 16260, 1024, 1118, 10.2481
W, 26496, 2048, 1544, 12.8951
W, 36520, 2048, 2209, 15.7197
L, 15640, 1024, 1028, 9.68062
W, 34620, 2048, 2084, 15.9592
L, 15292, 1024, 1006, 9.58616
W, 35740, 2048, 2137, 15.9768
L, 7144, 512, 567, 6.58704
L, 6972, 512, 522, 6.08611
L, 14580, 1024, 992, 9.77939
W, 30416, 2048, 1763, 14.8752
W, 23064, 2048, 1312, 12.3806
W, 34628, 2048, 2061, 15.8552
W, 26924, 2048, 1585, 13.2612
W, 27148, 2048, 1601, 13.4315
L, 14408, 1024, 933, 9.32876
W, 27372, 2048, 1676, 14.1071
W, 27208, 2048, 1620, 14.4706
L, 7188, 512, 567, 6.49774
W, 34524, 2048, 2036, 15.3484
W, 32592, 2048, 1939, 14.8547
W, 34820, 2048, 2065, 16.3258
L, 16500, 1024, 1140, 10.1439
W, 26392, 2048, 1514, 12.4029
W, 36260, 2048, 2170, 15.9926
W, 34544, 2048, 2050, 16.0754
L, 16200, 1024, 1107, 10.1995
L, 16144, 1024, 1124, 10.673
L, 16300, 1024, 1116, 10.2635
L, 16228, 1024, 1104, 10.3086
L, 16060, 1024, 1118, 9.7871
L, 2876, 256, 275, 4.07623
L, 12208, 1024, 847, 8.76191
L, 16384, 1024, 1108, 10.108
W, 34496, 2048, 2038, 14.9534
L, 16332, 1024, 1140, 10.3594
W, 32456, 2048, 1932, 15.5069
L, 14352, 1024, 931, 8.94468
L, 16324, 1024, 1131, 10.1828
L, 7032, 512, 541, 6.54696
L, 15948, 1024, 1042, 9.7248
L, 14404, 1024, 976, 9.41014
W, 30720, 2048, 1785, 14.5457
L, 16200, 1024, 1070, 9.79753
W, 56532, 4096, 3024, 21.4787
L, 16144, 1024, 1135, 9.97463
W, 27240, 2048, 1644, 13.9873
L, 16108, 1024, 1114, 9.82024
W, 27232, 2048, 1661, 13.2769
L, 16068, 1024, 1115, 10.3848
W, 31564, 2048, 1861, 14.8822
L, 16184, 1024, 1089, 10.6539
W, 27192, 2048, 1608, 13.7767
L, 7028, 512, 541, 5.99957
L, 16292, 1024, 1146, 10.4804
L, 7060, 512, 537, 6.12762
L, 16068, 1024, 1081, 9.68663
W, 36300, 2048, 2141, 15.8017
L, 16316, 1024, 1122, 10.1986
L, 6768, 512, 517, 6.08174
L, 16076, 1024, 1084, 10.2505
W, 23156, 2048, 1358, 11.876
W, 32240, 2048, 1890, 14.0023
L, 14444, 1024, 971, 9.30647
W, 35996, 2048, 2211, 15.809
W, 27276, 2048, 1679, 13.4733
L, 7116, 512, 566, 6.39621
L, 16352, 1024, 1083, 10.1407
L, 16036, 1024, 1097, 9.8402
L, 16312, 1024, 1148, 10.8357
L, 7016, 512, 544, 6.44871
W, 27260, 2048, 1624, 13.9813
W, 32120, 2048, 1849, 914.952
W, 35524, 2048, 2128, 915.788
L, 16524, 1024, 1144, 10.2608
W, 36192, 2048, 2183, 16.7189
W, 23208, 2048, 1362, 12.7326
W, 27120, 2048, 1667, 13.4599
W, 27164, 2048, 1609, 13.517
W, 27504, 2048, 1639, 14.1004
W, 32236, 2048, 1890, 15.1833
L, 14616, 1024, 953, 9.3465
W, 31464, 2048, 1860, 14.0678
L, 16108, 1024, 1112, 10.2112
L, 16164, 1024, 1094, 10.3217
L, 13148, 1024, 828, 8.52366
W, 27292, 2048, 1676, 13.2166
L, 15972, 1024, 1051, 9.75296
W, 32184, 2048, 1907, 15.287
L, 14376, 1024, 948, 9.5023
L, 14340, 1024, 946, 9.57222
L, 16172, 1024, 1110, 10.3461
W, 31684, 2048, 1890, 15.0255
L, 15904, 1024, 1097, 10.5064
W, 23072, 2048, 1367, 11.7849
L, 15976, 1024, 1075, 10.3119
W, 32056, 2048, 1888, 15.2388
L, 13560, 1024, 866, 9.15644
L, 14456, 1024, 966, 9.93963
L, 7532, 512, 620, 6.85041
L, 15992, 1024, 1084, 9.78412
L, 16088, 1024, 1092, 10.8975
W, 27152, 2048, 1649, 14.2062
L, 16168, 1024, 1098, 9.32873
L, 16120, 1024, 1117, 10.2716
L, 6636, 512, 480, 5.98286
W, 34324, 2048, 2020, 15.0043
L, 12044, 1024, 841, 8.70722
W, 23304, 2048, 1364, 12.1606
L, 14148, 1024, 924, 9.37746
L, 15960, 1024, 1071, 10.0265
L, 16112, 1024, 1088, 10.1714
W, 22840, 2048, 1318, 11.524
L, 16040, 1024, 1079, 10.1073
L, 16196, 1024, 1083, 10.1661
W, 27260, 2048, 1677, 13.9987
W, 33672, 2048, 1931, 15.0624
L, 16064, 1024, 1102, 10.4356
W, 30784, 2048, 1857, 14.812
L, 16028, 1024, 1107, 9.99886
L, 15920, 1024, 1085, 10.1992
L, 16008, 1024, 1057, 10.0973
W, 32392, 2048, 1937, 15.5098
L, 16148, 1024, 1080, 10.2282
W, 34532, 2048, 2037, 16.0638
L, 6836, 512, 516, 6.06251
L, 16156, 1024, 1118, 9.83326
W, 32032, 2048, 1913, 15.8733
L, 7124, 512, 578, 6.07695
L, 12092, 1024, 826, 8.29021
L, 10500, 1024, 705, 7.79366
L, 16292, 1024, 1141, 9.62103
W, 27028, 2048, 1570, 13.2223
W, 27096, 2048, 1650, 13.7286
L, 12272, 1024, 843, 8.06491
W, 23180, 2048, 1357, 12.5411
L, 16264, 1024, 1087, 10.1449
W, 35324, 2048, 2110, 15.8471
L, 3040, 256, 270, 3.87938
L, 16188, 1024, 1123, 10.3642
L, 7220, 512, 556, 6.26018
L, 14392, 1024, 954, 9.08848
L, 3072, 256, 306, 4.00623
L, 16360, 1024, 1092, 10.2948
L, 10304, 1024, 680, 7.56055
L, 16184, 1024, 1111, 9.94255
L, 5196, 512, 414, 5.23655
L, 7020, 512, 540, 6.1404
W, 27384, 2048, 1624, 13.9874
W, 34548, 2048, 2064, 16.3534
L, 13556, 1024, 895, 8.2569
L, 16104, 1024, 1093, 10.2355
W, 23156, 2048, 1372, 11.1147
W, 35472, 2048, 2117, 16.1648
W, 30536, 2048, 1732, 14.4922
W, 34476, 2048, 2057, 15.893
W, 23184, 2048, 1368, 13.0003
W, 35640, 2048, 2142, 16.269
L, 3148, 256, 297, 4.25245
L, 14364, 1024, 952, 9.30708
L, 16192, 1024, 1103, 9.84633
W, 36288, 2048, 2150, 15.8294
W, 36012, 2048, 2116, 16.0696
W, 35732, 2048, 2140, 16.13
L, 7044, 512, 547, 6.37097
W, 36244, 2048, 2157, 16.0423
L, 14532, 1024, 998, 10.0921
W, 34496, 2048, 2039, 16.0467
W, 32128, 2048, 1873, 15.3685
W, 36224, 2048, 2143, 15.9513
W, 27472, 2048, 1660, 13.6462
W, 34756, 2048, 2063, 15.4628
L, 15788, 1024, 1083, 10.0592
W, 23240, 2048, 1373, 12.197
L, 12116, 1024, 805, 8.35922
W, 27200, 2048, 1598, 13.3048
L, 16164, 1024, 1093, 9.85477
W, 35300, 2048, 2124, 15.7927
L, 6968, 512, 552, 6.47512
W, 36156, 2048, 2178, 16.1415
L, 16072, 1024, 1092, 10.0264
W, 36072, 2048, 2155, 15.9475
L, 7448, 512, 606, 6.99829
W, 32084, 2048, 1899, 14.5624
L, 16388, 1024, 1124, 9.61693
L, 16412, 1024, 1110, 10.0276
L, 7196, 512, 554, 6.21951
W, 36216, 2048, 2144, 16.0776
W, 32496, 2048, 1937, 15.5299
W, 35528, 2048, 2059, 15.8685
L, 16300, 1024, 1097, 9.88758
W, 27300, 2048, 1652, 13.6995
L, 7040, 512, 553, 6.26297
W, 23200, 2048, 1323, 11.7876
L, 12112, 1024, 829, 8.67383
W, 27280, 2048, 1643, 14.2188
L, 15344, 1024, 1035, 10.1394
W, 27304, 2048, 1688, 13.7617
L, 6864, 512, 556, 6.25106
W, 36124, 2048, 2220, 15.7183
L, 12140, 1024, 823, 8.59243
W, 27188, 2048, 1623, 13.7757
L, 16232, 1024, 1085, 9.67652
L, 15920, 1024, 1065, 10.2963
L, 13588, 1024, 900, 9.68138
L, 16104, 1024, 1090, 10.8475
L, 16736, 1024, 1120, 9.81493
W, 23268, 2048, 1333, 12.1987
W, 26372, 2048, 1564, 13.7459
W, 32188, 2048, 1854, 14.3522
L, 15808, 1024, 1053, 10.0524
W, 30552, 2048, 1779, 15.0803
L, 12048, 1024, 801, 8.26367
L, 12196, 1024, 844, 8.86186
W, 30588, 2048, 1778, 14.615
W, 56344, 4096, 2945, 20.7557
L, 15512, 1024, 1063, 9.99653
W, 26408, 2048, 1543, 12.9616
L, 14944, 1024, 991, 9.94976
W, 36284, 2048, 2217, 16.6998
L, 7012, 512, 564, 6.79631
W, 30356, 2048, 1722, 14.5735
L, 12152, 1024, 857, 8.64987
W, 24976, 2048, 1421, 12.2413
L, 6972, 512, 528, 6.24168
W, 23192, 2048, 1395, 12.1194
L, 2804, 256, 260, 3.86424
W, 36180, 2048, 2138, 15.7268
L, 3052, 256, 286, 4.08289
L, 7164, 512, 580, 6.62439
L, 15664, 1024, 1047, 9.82525
W, 36408, 2048, 2175, 16.1993
W, 25568, 2048, 1508, 13.2513
W, 27372, 2048, 1629, 13.6996
L, 7028, 512, 545, 6.1195
L, 14280, 1024, 940, 9.51721
W, 27300, 2048, 1628, 13.578
W, 34772, 2048, 2105, 15.855
W, 26488, 2048, 1542, 13.6415
W, 27268, 2048, 1661, 14.1737
W, 27200, 2048, 1626, 14.1872
W, 35380, 2048, 2111, 16.5729
L, 14296, 1024, 967, 9.63074
L, 16432, 1024, 1118, 10.3832
L, 16216, 1024, 1107, 10.985
W, 32296, 2048, 1865, 15.3909
L, 15980, 1024, 1082, 10.4694
W, 27328, 2048, 1648, 13.2578
W, 32380, 2048, 1879, 15.3547
W, 34416, 2048, 1998, 16.1475
L, 16128, 1024, 1131, 11.8069
W, 27300, 2048, 1652, 14.4574
W, 23092, 2048, 1365, 12.1693
W, 27236, 2048, 1619, 14.0554
L, 3012, 256, 286, 4.41833
W, 27100, 2048, 1616, 13.8099
L, 12336, 1024, 857, 8.5982
W, 27044, 2048, 1581, 13.4782
L, 3156, 256, 297, 3.79793
W, 30680, 2048, 1797, 15.4833
L, 6928, 512, 543, 5.79645
W, 31472, 2048, 1820, 14.4525
L, 7040, 512, 539, 6.02763
